Districts,weight,humidity,temperature,quality,month
Coimbatore,969.2664437,26.65003127,72.82697553,1,April
Cuddalore,968.4463916,32.36694559,69.88560892,1,May
Dharmapuri,986.7243141,32.50087145,67.33387501,1,June
Dindigul,1014.366624,44.59644007,66.23125266,0,July
Erode,998.1323845,31.78919084,67.56820727,1,August
Kallakurichi,1017.043206,28.57722464,73.25156606,1,September
Kanniyakumari,1004.745711,33.92783455,69.14859715,0,October
Kancheepuram,1044.302344,31.71354304,65.51425414,0,November
Mayiladuthurai,992.5859467,35.84688109,74.5410048,1,December
Karur,982.3090452,26.55819364,69.62974225,0,January
Krishnagiri,1029.562028,27.06033074,70.17939242,1,February
Madurai,1012.771603,38.42662207,66.24876035,1,March
Nagapattinam,1011.830021,35.37420275,70.47778531,1,April
Namakkal,1031.987247,29.19693452,74.05558286,1,May
Nilgiris (Udhagamandalam/Ooty),989.5103312,38.12422831,73.64270519,1,June
Perambalur,974.4998003,31.56686316,70.46284002,1,July
Pudukkottai,984.168957,40.43082233,73.15712647,1,August
Ramanathapuram,1017.636366,27.57755104,69.03462297,0,September
Ranipet,984.0446018,29.54375099,70.12260603,1,October
Salem,1014.460535,27.38424288,67.46988677,1,November
Sivaganga,994.5592897,26.21856028,65.38239771,1,December
Tenkasi,984.5781876,31.41155479,74.46203726,0,January
Thanjavur,1025.909485,27.75608822,69.78840223,1,February
Theni,1041.647274,25.2594958,68.75231946,1,March
Thoothukudi (Tuticorin),975.1342818,31.34550939,70.95076329,1,April
Tiruchirappalli (Trichy),995.5441959,41.30652914,72.57263952,1,May
Tirunelveli,999.3867805,40.25227061,71.01898443,0,June
Tirupathur,990.9107737,39.06068067,66.39545968,1,July
Tiruppur,1042.06403,25.5821222,74.36167812,1,August
Tiruvallur,1041.706693,34.04357544,70.70815798,1,September
Tiruvannamalai,1028.976588,31.03336317,69.25440447,1,October
Tiruvarur,980.1343776,37.66185106,73.71978348,1,November
Vellore,962.9384293,39.02356048,73.59039572,0,December
Viluppuram,1039.880255,32.60727514,66.68080486,1,January
Virudhunagar,1002.12861,36.00458312,65.1030839,1,February
Ariyalur,1041.219467,37.94949829,73.05099136,1,March
Chengalpattu,1030.806291,38.35214849,67.62207079,1,April
Chennai,1041.765036,27.84762015,71.02215036,1,May
Cuddalore,987.4569296,26.45284365,74.86299608,0,June
Dharmapuri,1013.115326,33.38462285,70.19286658,1,July
Dindigul,999.0475727,29.987163,72.90682431,1,August
Erode,959.5237788,25.76675238,71.84422522,0,September
Kallakurichi,950.6101878,34.64614592,68.34225696,1,October
Kanniyakumari,966.1268747,44.20828728,70.60117392,0,November
Kancheepuram,956.6800626,36.0636791,68.97009023,0,December
Mayiladuthurai,996.4672532,28.84672612,65.42675142,0,January
Karur,950.0170066,32.97717704,68.50695731,1,February
Krishnagiri,1009.731163,39.85022186,73.70880221,1,March
Madurai,1003.940491,36.53144854,68.07007642,0,April
Nagapattinam,954.3624437,33.10369835,70.43305302,1,May
Namakkal,968.1383026,35.50994869,70.42606946,1,June
Nilgiris (Udhagamandalam/Ooty),1005.167908,38.6359106,66.10622287,1,July
Perambalur,988.5318879,38.87204806,69.63726191,1,August
Pudukkottai,1000.932685,39.85204294,72.14070263,1,September
Ramanathapuram,1003.707414,25.8442228,74.45723735,1,October
Ranipet,1045.237459,29.20427368,72.02612391,1,November
Salem,1036.804889,34.32549535,67.89382633,1,December
Sivaganga,958.1485426,27.52001422,67.66227131,1,January
Tenkasi,967.2824735,35.33585807,72.02153283,1,February
Thanjavur,958.7401017,42.55066038,69.860769,1,March
Theni,985.6136471,35.90497803,65.70706113,1,April
Thoothukudi (Tuticorin),950.5191862,35.69890361,71.12024168,1,May
Tiruchirappalli (Trichy),973.6810571,41.11931637,73.61984084,0,June
Tirunelveli,1024.017352,31.84516312,72.52018112,1,July
Tirupathur,1033.707596,38.65251655,73.72582726,1,August
Tiruppur,1038.447309,40.08626519,68.02325196,0,September
Tiruvallur,977.3938394,25.35506736,67.53888306,1,October
Tiruvannamalai,1033.394222,29.65071598,66.309869,1,November
Tiruvarur,1032.807351,37.15259295,66.87561554,1,December
Vellore,1029.74936,25.95718284,66.57338875,0,January
Viluppuram,983.8548579,39.77630977,66.20495642,1,February
Virudhunagar,1049.354208,25.36875695,74.312122,1,March
Ariyalur,995.0045405,43.93099642,65.49133487,1,April
Chengalpattu,1007.285472,44.94793776,66.49812133,1,May
Chennai,1027.735559,39.1400506,71.05219937,0,June
Coimbatore,1010.892818,40.50568513,72.43079168,0,July
Cuddalore,1045.786238,29.74426992,72.41113729,1,August
Dharmapuri,1037.663092,38.24083438,68.82780621,1,September
Dindigul,959.6756027,31.24021912,70.56106123,1,October
Erode,1034.602851,31.83716065,71.58258696,0,November
Kallakurichi,1007.123545,29.9966274,65.87133355,1,December
Kanniyakumari,1027.665614,41.18934126,68.25600869,1,January
Mayiladuthurai,989.1104939,27.49196525,70.05943442,1,February
Karur,1031.30352,33.60770669,71.230216,1,March
Krishnagiri,1042.680374,26.87336874,66.3195995,1,April
Madurai,970.2835746,34.17421369,65.09815007,0,May
Nagapattinam,1027.771136,40.08636468,71.31440977,1,June
Namakkal,1034.387684,33.01545062,71.86011744,0,July
Perambalur,1035.006006,26.45951698,66.50721187,1,August
Pudukkottai,1028.907562,31.41685078,66.91775241,1,September
Ramanathapuram,966.9402325,37.88168799,66.78498213,1,October
Ranipet,1044.933186,36.02802222,69.11786237,1,November
Salem,1047.516264,44.57348708,73.53435882,1,December
Sivaganga,976.3189498,29.10054993,65.66906022,1,January
Tenkasi,1022.183396,33.23013719,69.15702233,1,February
Thanjavur,1036.497794,31.99901546,73.62126396,1,March
Theni,959.4936749,39.36396721,68.52443899,1,April
Thoothukudi (Tuticorin),1014.11941,26.66953668,67.05248147,1,May
Tiruchirappalli (Trichy),1043.448169,27.66047612,66.99808118,1,June
Tirunelveli,975.1866659,39.21896774,70.62373975,1,July
Tirupathur,962.2363056,42.71923045,69.26189637,1,August
Tiruppur,974.0592293,39.99146005,67.05577113,0,September
Tiruvallur,1025.273947,34.47987106,68.55194854,1,October
Tiruvannamalai,1039.750396,38.12865754,74.62440814,1,November
Tiruvarur,1036.789862,35.74224369,68.29256126,1,December
Vellore,1029.885835,44.80789536,66.27024538,1,January
Viluppuram,962.7822757,26.67289711,66.43001756,1,February
Virudhunagar,1038.197573,35.45481975,74.19051373,0,March
Ariyalur,983.3742356,26.6407881,74.32666892,1,April
Chennai,1036.774423,27.91917967,65.63369964,0,May
Coimbatore,988.8726417,32.94712106,65.89584239,0,June
Cuddalore,1019.44629,44.62121819,74.97880964,1,July
Dharmapuri,956.8276042,26.60435438,68.33278279,1,August
Dindigul,959.6387962,29.38909637,74.1931971,1,September
Erode,971.5173424,39.38027251,68.37063176,0,October
Kallakurichi,973.5647901,42.10769895,70.93262348,1,November
Kanniyakumari,984.5568225,33.71900064,66.08558058,1,December
Kancheepuram,959.5480001,34.07484642,70.11938668,1,January
Mayiladuthurai,994.6059159,40.60293939,74.08121984,1,February
Karur,1004.121297,35.46221047,66.89327683,0,March
Krishnagiri,1048.160807,27.16445611,68.86356561,1,April
Madurai,955.1527701,36.64974455,65.49678029,0,May
Nagapattinam,964.7032581,38.56938078,65.13424224,1,June
Namakkal,1012.035485,35.20755012,71.39350019,0,July
Nilgiris (Udhagamandalam/Ooty),1027.506175,40.31452143,67.55127817,1,August
Perambalur,1018.583349,29.42876543,65.79287949,1,September
Pudukkottai,990.654341,35.40798206,73.87115868,1,October
Ramanathapuram,1012.645569,33.66402281,74.27024978,1,November
Ranipet,987.8682122,40.54069082,72.0160486,1,December
Salem,984.9452787,32.93664038,70.01985632,1,January
Sivaganga,1027.087323,37.99957542,72.92187077,1,February
Tenkasi,998.6156478,43.54561276,68.36419444,1,March
Thanjavur,1005.047952,34.83110599,74.72042198,1,April
Theni,993.2258365,31.29443914,72.91459488,0,May
Thoothukudi (Tuticorin),1006.875949,43.36386192,69.76065052,1,June
Tiruchirappalli (Trichy),990.1382816,41.05370078,68.82642153,0,July
Tirunelveli,1008.491262,35.38705695,73.92003886,1,August
Tirupathur,983.2514646,31.01221121,66.80660894,1,September
Tiruppur,992.3348369,32.59870441,71.22932924,0,October
Tiruvallur,1000.907424,38.01730448,74.80484828,1,November
Tiruvannamalai,1001.795492,25.33539414,66.03356676,1,December
Tiruvarur,1021.443875,40.64770747,67.43857659,1,January
Vellore,988.9239798,33.93421872,70.27724091,1,February
Viluppuram,991.0486617,38.95840181,65.65688203,1,March
Virudhunagar,1025.446408,36.19262444,66.4693699,1,April
Ariyalur,1000.043901,33.06910976,70.34958673,0,May
Chengalpattu,991.6707131,27.73351849,67.30883657,1,June
Chennai,985.8291894,31.97819764,71.50530193,0,July
Coimbatore,987.0460876,44.52257148,74.23091612,0,August
Cuddalore,1008.664946,31.68675103,70.44694812,1,September
Dharmapuri,1008.944423,30.17373955,74.69461586,1,October
Dindigul,1002.302567,42.86553312,68.87905479,1,November
Erode,987.4678832,30.50823263,74.80782384,0,December
Kallakurichi,1039.008626,34.20720218,73.15777274,1,January
Kanniyakumari,1002.432838,40.67292463,72.23017746,1,February
Kancheepuram,950.4772299,38.74622487,67.0319135,1,March
Mayiladuthurai,1041.904964,29.68597314,69.56883173,0,April
Karur,953.0614755,26.5698826,66.65576801,1,May
Krishnagiri,998.9254987,41.28632201,66.4257116,1,June
Madurai,1012.326165,35.24730913,66.32455909,0,July
Nagapattinam,1000.347529,41.14525451,69.90039608,1,August
Namakkal,1025.758337,37.91609319,74.3950557,1,September
Nilgiris (Udhagamandalam/Ooty),1041.382261,27.86379138,68.88564957,0,October
Perambalur,976.0033966,32.28577505,65.78676223,1,November
Pudukkottai,975.8247432,31.88348131,66.56812347,0,December
Ramanathapuram,974.7510498,35.84035928,65.19879248,1,January
Ranipet,1001.843905,41.20231559,72.79514362,1,February
Salem,977.0159861,37.76216118,67.95217257,1,March
Sivaganga,1016.061735,41.01470127,68.46232792,0,April
Tenkasi,993.9204323,31.58388437,71.17532458,1,May
Thanjavur,996.0069306,42.74438607,69.66751819,1,June
Theni,1047.070092,41.29812877,73.22425487,1,July
Thoothukudi (Tuticorin),1036.219104,32.043951,70.46850436,1,August
Tiruchirappalli (Trichy),982.2475776,42.42540088,70.69120406,1,September
Tirunelveli,970.6586301,27.36945504,70.60636946,1,October
Tirupathur,1002.230045,37.13568516,67.84668211,1,November
Tiruppur,1030.345349,44.52998532,73.02384665,0,December
Tiruvallur,950.6386899,36.7130342,68.57066782,1,January
Tiruvannamalai,1030.182779,34.82059008,70.07703461,1,February
Tiruvarur,996.8095848,28.72261724,74.15335526,1,March
Vellore,963.9697373,32.50885265,72.79821214,0,April
Viluppuram,1046.896022,36.17186935,65.65671373,1,May
Virudhunagar,1000.72608,25.88509893,67.81199485,1,June
Ariyalur,1027.058632,28.72629754,73.89679492,1,July
Chengalpattu,984.3178464,35.09235158,66.55363917,1,August
Chennai,1012.680423,29.34480369,66.11751247,0,September
Coimbatore,1007.900359,38.62490099,74.95465859,0,October
Cuddalore,963.4786642,38.99025725,67.39821721,1,November
Dharmapuri,1034.883954,44.98673537,65.33669249,1,December
Dindigul,978.9504737,30.74041372,72.24424446,1,January
Erode,1002.293906,29.372786,66.7184835,0,February
Kallakurichi,972.4148782,28.19681489,73.31289757,1,March
Kanniyakumari,1011.07621,38.5248634,65.46418548,1,April
Kancheepuram,1014.327523,27.51000025,74.88865197,1,May
Mayiladuthurai,1027.631249,38.17125231,74.20460182,1,June
Karur,1041.212217,29.71122439,68.27477811,1,July
Krishnagiri,1015.498391,35.13484616,65.1112305,1,August
Madurai,1032.271584,43.13778665,68.59311377,0,September
Nagapattinam,1023.624325,41.87901984,74.12759383,1,October
Namakkal,1039.925323,27.32395198,71.45425297,1,November
Nilgiris (Udhagamandalam/Ooty),1042.865047,27.45088044,69.10012846,1,December
Perambalur,991.3936156,27.27964221,68.53515704,1,January
Pudukkottai,953.0341121,30.42645564,68.60431893,1,February
Ramanathapuram,998.6265462,25.91553228,72.55669259,1,March
Ranipet,991.1571716,26.00220807,70.03700408,0,April
Salem,1011.363767,37.81853262,67.27984732,1,May
Sivaganga,950.0442166,34.90252462,72.15334004,1,June
Tenkasi,1005.502407,30.91957012,65.33605364,1,July
Thanjavur,972.047967,41.26704787,69.92464288,1,August
Theni,1035.976122,28.10630192,72.49322857,1,September
Thoothukudi (Tuticorin),975.616763,28.82526587,71.22346153,0,October
Tiruchirappalli (Trichy),1047.588703,38.06128428,69.70816468,0,November
Tirunelveli,1040.866039,39.64085648,65.00410895,1,December
Tirupathur,1043.907563,31.34085983,69.49592239,1,January
Tiruppur,966.2536497,39.0553044,74.58489129,0,February
Tiruvallur,967.0861137,35.04589656,74.57886861,1,March
Tiruvannamalai,1029.899499,33.9283309,73.33727619,1,April
Tiruvarur,951.2208027,29.04961348,72.5616629,1,May
Vellore,960.8418159,34.95350983,69.44667808,1,June
Viluppuram,1038.470303,36.89671656,66.0000663,1,July
Virudhunagar,1011.209073,33.38496169,74.45300775,1,August
Ariyalur,976.526609,29.13163935,68.53230199,1,September
Chengalpattu,992.7424645,29.23492347,67.96274366,0,October
Coimbatore,977.9260787,39.23883972,69.98157671,0,November
Cuddalore,976.1733356,37.09001693,68.37864993,1,December
Dindigul,1010.923672,44.2381112,69.50334891,1,January
Erode,960.6220528,28.24396491,65.02387875,0,February
Kallakurichi,975.4694533,27.48027248,72.19544547,1,March
Kanniyakumari,1024.05683,43.68961358,70.8696313,1,April
Kancheepuram,988.7128319,29.58032022,71.30470131,1,May
Mayiladuthurai,1005.850525,28.44739381,73.16511295,0,June
Karur,1037.094,27.59002901,72.90448712,1,July
Krishnagiri,984.3361458,36.47722249,70.29169236,1,August
Madurai,1008.646028,39.67267793,69.27370215,0,September
Nagapattinam,950.1795149,27.41501672,68.6669573,1,October
Namakkal,957.2616683,38.63449354,69.85254005,1,November
Nilgiris (Udhagamandalam/Ooty),1028.929484,31.29793645,69.475518,1,December
Perambalur,960.7945787,40.4059835,69.19664473,1,January
Pudukkottai,951.5930371,39.55892833,68.81104094,1,February
Ramanathapuram,998.6641756,44.30841718,66.32498907,1,March
Ranipet,1032.781125,33.13393782,73.24676781,1,April
Sivaganga,955.8793829,29.49839706,66.72991275,1,May
Tenkasi,1009.198646,26.00650825,72.54407493,1,June
Thanjavur,1026.20598,31.97704355,73.71660982,1,July
Theni,1039.147632,29.99348455,68.53750353,1,August
Thoothukudi (Tuticorin),971.1547504,33.6413248,69.56338732,1,September
Tiruchirappalli (Trichy),1021.434156,42.13754024,69.37996411,1,October
Tirunelveli,985.5758519,30.79665931,69.86849002,1,November
Tirupathur,1038.67716,41.93419323,65.01557343,0,December
Tiruppur,1021.297388,25.65906601,74.87509527,0,January
Tiruvallur,1001.181214,36.85838176,69.13063448,1,February
Tiruvannamalai,1046.813106,31.9751076,69.26878833,1,March
Tiruvarur,1018.172376,39.55170525,70.76662604,1,April
Vellore,975.9381588,30.92943282,65.30493844,0,May
Viluppuram,965.1623313,39.06305475,69.26707402,1,June
Virudhunagar,1010.887767,40.49856337,71.43325505,1,July
Ariyalur,963.0258173,25.29386877,70.84189211,1,August
Chengalpattu,977.0219587,28.37561038,73.87109877,0,September
Chennai,1029.312905,33.25106498,65.64464023,0,October
Coimbatore,989.8780379,30.10390297,65.77667271,0,November
Cuddalore,962.220386,32.41432998,66.16888747,1,December
Dharmapuri,954.9780629,30.6744399,65.13987281,1,January
Dindigul,975.5536501,34.65846838,65.61470639,1,February
Kallakurichi,961.8524167,35.12479122,65.98943865,0,March
Kanniyakumari,1024.260463,33.2017283,65.65501773,1,April
Kancheepuram,1011.935966,41.48245269,74.13278548,1,May
Mayiladuthurai,1034.86804,32.00177978,68.16987773,1,June
Karur,965.5661483,39.5783133,65.66535831,1,July
Krishnagiri,1006.255087,34.02879481,73.29598075,0,August
Madurai,998.2059371,36.91004051,71.3252086,0,September
Nagapattinam,1003.974909,43.93921149,69.64116106,1,October
Namakkal,954.7453466,27.7901758,69.80462714,1,November
Nilgiris (Udhagamandalam/Ooty),1004.420265,30.7647198,65.37478719,1,December
Perambalur,954.8943138,25.51094056,65.18566003,1,January
Pudukkottai,994.6917597,42.27621478,73.91102617,1,February
Ramanathapuram,995.9054641,32.57803009,72.59241334,1,March
Ranipet,984.4551448,42.10560023,74.74202211,1,April
Salem,987.7473921,39.16917917,72.29396848,1,May
Sivaganga,1044.242986,40.8750976,73.12224739,0,June
Tenkasi,1040.551834,33.77825642,73.02218148,1,July
Thanjavur,972.7225827,36.23190738,69.15128102,1,August
Theni,953.23061,26.70147346,69.40946543,1,September
Thoothukudi (Tuticorin),1006.380989,41.95594888,67.95395378,0,October
Tiruchirappalli (Trichy),995.3178403,35.56871085,68.63754786,0,November
Tirunelveli,977.5105065,28.94089143,66.97981743,1,December
Tirupathur,1037.624907,31.45084989,67.73839462,1,January
Tiruppur,985.4828287,29.70556585,66.31008181,0,February
Tiruvallur,994.3933182,33.2222954,71.92181254,1,March
Tiruvannamalai,1013.475721,34.9998723,69.22189764,1,April
Tiruvarur,993.1348146,39.51789059,71.5438579,1,May
Vellore,994.0268459,31.07885239,74.35324799,1,June
Viluppuram,1046.983881,35.92013241,65.27139497,1,July
Virudhunagar,1004.845559,37.43849755,65.17283802,0,August
Ariyalur,1001.175438,35.81420418,66.46135788,1,September
Chengalpattu,994.1639797,44.29220577,65.14997061,1,October
Chennai,1000.09045,30.53697636,66.47968243,0,November
Coimbatore,1047.787834,30.83735367,69.12462014,0,December
Cuddalore,999.4690016,38.33449938,74.7207438,1,January
Dharmapuri,952.0286973,26.48529538,68.97031735,1,February
Dindigul,1005.512986,35.40150254,68.1555001,1,March
Erode,966.0943195,29.27629558,71.41419004,0,April
Kallakurichi,1046.2277,26.12103761,67.78038943,1,May
Kanniyakumari,1035.28982,36.60499569,72.85203195,1,June
Kancheepuram,1001.084306,29.36244868,70.48885206,1,July
Mayiladuthurai,1031.430441,43.24923187,72.82872579,0,August
Karur,982.4033199,26.12972383,66.42000927,1,September
Krishnagiri,979.5506843,40.20638668,72.12955744,1,October
Madurai,997.3510682,44.36125215,74.69273863,0,November
Nagapattinam,960.7972722,27.21340889,65.1412547,1,December
Namakkal,1010.970703,26.95078258,69.88325835,1,January
Nilgiris (Udhagamandalam/Ooty),980.4319625,32.20421446,68.15412492,1,February
Perambalur,987.7102784,32.27443501,72.84850564,1,March
Pudukkottai,968.041977,38.47281757,66.96896531,1,April
Ramanathapuram,1007.29587,30.87985475,65.45858403,1,May
Ranipet,1042.77992,28.01081598,65.32667583,1,June
Sivaganga,979.9365479,28.70976952,72.3658025,0,July
Tenkasi,975.5658022,25.60890557,73.19852118,1,August
Thanjavur,1046.451645,30.60628204,71.44995354,1,September
Theni,999.6500925,44.22788123,66.84225467,0,October
Thoothukudi (Tuticorin),966.7022341,26.54713352,69.00371372,1,November
Tiruchirappalli (Trichy),964.1368979,25.78416096,69.92590608,1,December
Tirunelveli,1047.830253,41.46388253,67.89671981,1,January
Tirupathur,990.3035069,25.09325121,71.36345978,0,February
Tiruppur,1009.661913,40.18043346,71.74124775,0,March
Tiruvallur,1008.21918,41.82074536,66.04838249,1,April
Tiruvannamalai,1048.520801,26.72697299,71.06632699,1,May
Tiruvarur,1022.087074,32.47177899,70.68548571,1,June
Vellore,971.7859159,36.45309938,68.84976407,1,July
Viluppuram,978.6717951,39.21350195,65.57533463,0,August
Virudhunagar,999.8327386,39.59312614,67.79083677,1,September
Ariyalur,1028.679047,35.35290714,69.39694676,1,October
Chengalpattu,980.8142858,38.64368874,66.98261561,1,November
Chennai,959.6216714,38.27429837,72.27894284,0,December
Coimbatore,1015.858381,36.947342,66.61335084,0,January
Cuddalore,1027.671786,35.72886603,67.29754043,1,February
Dharmapuri,975.1714832,39.29749797,65.77359494,1,March
Dindigul,1024.002118,36.25075793,65.73000759,1,April
Erode,1029.479644,32.94908921,66.8331046,0,May
Kallakurichi,1002.038637,33.86863018,65.97318317,1,June
Kanniyakumari,1003.56914,29.55053402,66.30802655,1,July
Kancheepuram,1025.749432,37.45995287,74.944091,1,August
Mayiladuthurai,981.4154871,28.50878695,74.15814378,1,September
Karur,1038.066648,33.62930909,70.07753967,1,October
Krishnagiri,1024.238793,41.12279523,66.79980651,1,November
Madurai,1019.533933,44.89845876,70.33194752,1,December
Namakkal,1024.886949,34.00726026,65.2005372,1,January
Nilgiris (Udhagamandalam/Ooty),1012.865638,32.25895705,67.1168536,0,February
Perambalur,962.2683438,30.05438901,65.43041239,1,March
Pudukkottai,983.1201257,39.78109723,73.70421955,1,April
Ramanathapuram,1024.494632,32.95434472,65.42146758,0,May
Ranipet,956.7272239,29.18049619,74.56926948,1,June
Salem,995.9082868,37.55270215,70.8099715,0,July
Sivaganga,1012.859096,27.89403716,73.44919841,1,August
Tenkasi,995.4764457,41.51929447,71.50155227,1,September
Thanjavur,966.2413041,27.22871936,73.80563119,0,October
Theni,992.4458757,32.85350524,67.11740582,1,November
Thoothukudi (Tuticorin),1041.247886,30.35579573,66.5769907,1,December
Tiruchirappalli (Trichy),968.0495551,37.30722793,68.83556851,0,January
Tirunelveli,1041.338859,31.47292438,69.46944127,0,February
Tirupathur,992.7896685,32.84427306,68.87687392,1,March
Tiruppur,956.6892767,33.75683128,70.02989158,1,April
Tiruvallur,1032.906571,38.99533415,67.21268816,1,May
Tiruvannamalai,1030.17278,40.32383726,69.97130801,1,June
Tiruvarur,983.2250048,40.97042305,71.38329658,1,July
Vellore,966.2110259,26.40480638,65.99266965,0,August
Viluppuram,984.9986528,33.48670037,71.44915719,1,September
Virudhunagar,1004.587194,30.48063668,66.06124535,1,October
Chengalpattu,1010.018901,25.51762174,71.29615521,1,November
Chennai,1047.117691,40.07645289,67.38297886,0,December
Coimbatore,970.5953218,44.71066728,70.05731974,1,January
Cuddalore,1012.236069,33.26588914,74.3414755,1,February
Dharmapuri,967.7481544,28.95165677,71.57492503,1,March
Dindigul,959.4232781,27.28190616,65.09108429,1,April
Erode,1035.597098,28.38183978,68.74813205,1,May
Kallakurichi,991.908381,40.57498766,67.60182044,1,June
Kanniyakumari,959.6909986,31.96810606,68.22875926,0,July
Kancheepuram,1000.630861,35.5599348,69.76221737,1,August
Mayiladuthurai,1015.652267,40.22171759,73.71243325,1,September
Karur,1031.789584,40.95943458,72.88402042,1,October
Krishnagiri,1009.346395,29.751905,73.33032227,1,November
Madurai,978.0502506,42.71780127,71.345352,0,December
Nagapattinam,1017.868971,38.01718388,68.02678627,1,January
Namakkal,1039.978728,38.70485503,74.50712943,1,February
Nilgiris (Udhagamandalam/Ooty),954.5300137,32.40382145,65.42393422,1,March
Perambalur,957.2631898,39.64231411,73.52755106,1,April
Pudukkottai,954.2673593,37.39686417,72.18097659,1,May
Ramanathapuram,1033.707401,29.60774982,70.72568224,1,June
Ranipet,1049.250848,42.59787429,70.1002593,0,July
Sivaganga,989.094799,33.40965232,69.72493123,1,August
Tenkasi,964.8703825,29.34929253,65.9474075,1,September
Thanjavur,1017.070475,43.23225075,74.79331884,0,October
Theni,987.0082345,32.91220661,73.39574448,1,November
Thoothukudi (Tuticorin),962.4382103,25.71654146,66.87863322,1,December
Tiruchirappalli (Trichy),985.3843487,37.70706259,70.16869936,1,January
Tirunelveli,988.6740028,34.57852457,74.2931245,1,February
Tirupathur,1031.154564,39.40352867,66.99254789,1,March
Tiruppur,1022.718218,27.04907275,71.22891991,0,April
Tiruvannamalai,1015.166595,33.57468398,69.37123491,1,May
Tiruvarur,1047.563993,41.91707924,69.14067214,1,June
Vellore,1029.821599,32.70886178,65.12225428,1,July
Virudhunagar,1010.362257,34.58627888,73.35215805,0,August
Ariyalur,1033.175629,44.09006352,73.82703562,1,September
Chengalpattu,1015.977368,42.50062504,68.70002521,1,October
Chennai,1004.972285,37.85181252,72.32480306,1,November
Coimbatore,1028.300039,29.26016052,70.87493858,0,December
Cuddalore,977.6811264,26.89689675,70.87287222,1,January
Dharmapuri,1007.893897,31.94155657,73.54447139,1,February
